modelo=deepseek-r1:7b run=baseline_deepseek casos=51 opciones={'temperature': 0.0, 'num_ctx': 12288, 'num_predict': 8192, 'seed': 0}
[1/51] case_001_e1: 8192 tok, 490.0s (length)
[2/51] test_0001: 1858 tok, 117.8s (stop)
[3/51] test_0002: 1345 tok, 87.1s (stop)
[4/51] test_0003: 1442 tok, 97.9s (stop)
[5/51] test_0004: 2884 tok, 182.7s (stop)
[6/51] test_0005: 1785 tok, 107.4s (stop)
[7/51] test_0006: 8192 tok, 506.1s (length)
[8/51] test_0007: 8192 tok, 535.0s (length)
[9/51] test_0008: 1440 tok, 91.7s (stop)
[10/51] test_0009: 2211 tok, 139.1s (stop)
[11/51] test_0010: 1683 tok, 105.5s (stop)
[12/51] test_0011: 854 tok, 56.7s (stop)
[13/51] test_0012: 2142 tok, 136.1s (stop)
[14/51] test_0013: 1183 tok, 75.5s (stop)
[15/51] test_0014: 853 tok, 56.0s (stop)
[16/51] test_0015: 8192 tok, 524.7s (length)
[17/51] test_0016: 1400 tok, 100.4s (stop)
[18/51] test_0017: 2385 tok, 166.5s (stop)
[19/51] test_0018: 1657 tok, 117.6s (stop)
[20/51] test_0019: 2089 tok, 145.6s (stop)
[21/51] test_0020: 1576 tok, 113.1s (stop)
[22/51] test_0021: 1193 tok, 87.4s (stop)
[23/51] test_0022: 1499 tok, 106.0s (stop)
[24/51] test_0023: 8192 tok, 528.6s (length)
[25/51] test_0024: 1870 tok, 120.8s (stop)
[26/51] test_0025: 793 tok, 55.0s (stop)
[27/51] test_0026: 8192 tok, 518.4s (length)
[28/51] test_0027: 1055 tok, 74.3s (stop)
[29/51] test_0028: 1591 tok, 117.8s (stop)
[30/51] test_0029: 1019 tok, 86.5s (stop)
[31/51] test_0030: 1695 tok, 129.3s (stop)
[32/51] test_0031: 2472 tok, 177.6s (stop)
[33/51] test_0032: 1567 tok, 117.7s (stop)
[34/51] test_0033: 1580 tok, 118.3s (stop)
[35/51] test_0034: 1554 tok, 119.2s (stop)
[36/51] test_0035: 1616 tok, 123.0s (stop)
[37/51] test_0036: 2668 tok, 197.5s (stop)
[38/51] test_0037: 1265 tok, 98.5s (stop)
[39/51] test_0038: 1883 tok, 122.7s (stop)
[40/51] test_0039: 1766 tok, 152.1s (stop)
[41/51] test_0040: 1019 tok, 78.8s (stop)
[42/51] test_0041: 8192 tok, 570.0s (length)
[43/51] test_0042: 8192 tok, 546.1s (length)
[44/51] test_0043: 990 tok, 69.4s (stop)
[45/51] test_0044: 1489 tok, 100.9s (stop)
[46/51] test_0045: 1440 tok, 107.7s (stop)
[47/51] test_0046: 1420 tok, 107.9s (stop)
[48/51] test_0047: ERROR timed out
[49/51] test_0048: 2440 tok, 180.1s (stop)
[50/51] test_0049: 952 tok, 75.2s (stop)
[51/51] test_0050: 8192 tok, 558.2s (length)
listo: 50 respuestas nuevas en results/baseline_deepseek/
