run,case_id,e1_correct,exact_match,reason,details,lenient_e1,lenient_reason
baseline_granite,case_001_e1,0,0,arithmetic_error,PROP-F61: price_clp=150800000 esperado=145040000 | PROP-F61: roi=69.23 esperado=7.61 | rechazo falso u omisión de aprobadas: ['PROP-G77'],,
baseline_granite,test_0001,0,0,schema_error,JSON malformado,,
baseline_granite,test_0002,0,0,false_approval,"PROP-J63 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-X47', 'PROP-Z59']",,
baseline_granite,test_0003,0,0,false_approval,"PROP-K89 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-B30', 'PROP-C19', 'PROP-Y29']",,
baseline_granite,test_0004,0,0,schema_error,"ids repetidos o en ambas listas: ['PROP-H82', 'PROP-Z46']",,
baseline_granite,test_0005,0,0,arithmetic_error,PROP-D72: roi=83.85 esperado=8.53 | rechazo falso u omisión de aprobadas: ['PROP-U40'],,
baseline_granite,test_0006,0,0,false_approval,"PROP-U89 aprobada pero viola ['estacionamiento'] | PROP-F63 aprobada pero viola ['presupuesto'] | PROP-J18 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-C35', 'PROP-Q83']",,
baseline_granite,test_0007,0,0,arithmetic_error,"PROP-M26: price_clp=226548000 esperado=226085400 | PROP-M26: roi=6.44 esperado=6.16 | rechazo falso u omisión de aprobadas: ['PROP-E30', 'PROP-H32', 'PROP-L49']",,
baseline_granite,test_0008,0,0,false_approval,PROP-P68 aprobada pero viola ['presupuesto'],,
baseline_granite,test_0009,0,0,false_approval,PROP-X61 aprobada pero viola ['presupuesto'] | PROP-R26 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-M12'],,
baseline_granite,test_0010,0,0,false_approval,PROP-R96 aprobada pero viola ['estacionamiento'] | rechazo falso u omisión de aprobadas: ['PROP-V65'],,
baseline_granite,test_0011,0,0,arithmetic_error,PROP-W70: roi=85.71 esperado=10.16 | rechazo falso u omisión de aprobadas: ['PROP-A39'],,
baseline_granite,test_0012,0,0,arithmetic_error,PROP-Q40: roi=65.45 esperado=7.82 | rechazo falso u omisión de aprobadas: ['PROP-V63'],,
baseline_granite,test_0013,0,0,false_approval,PROP-X94 aprobada pero viola ['presupuesto'],,
baseline_granite,test_0014,0,0,false_approval,PROP-Z53 aprobada pero viola ['mascotas'] | PROP-D31 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-W37'],,
baseline_granite,test_0015,0,1,arithmetic_error,PROP-C25: price_clp=123285000 esperado=123284250 | PROP-C25: roi=60.0 esperado=6.42,,
baseline_granite,test_0016,0,0,false_approval,"PROP-Z86 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-D82', 'PROP-W79']",,
baseline_granite,test_0017,0,0,false_approval,"PROP-D26 aprobada pero viola ['dormitorios'] | rechazo falso u omisión de aprobadas: ['PROP-E47', 'PROP-P35', 'PROP-X18']",,
baseline_granite,test_0018,0,0,false_approval,PROP-U78 aprobada pero viola ['dormitorios'] | PROP-D34 aprobada pero viola ['distancia_transporte'] | PROP-J10 aprobada pero viola ['dormitorios'] | PROP-A38 aprobada pero viola ['distancia_transporte'],,
baseline_granite,test_0019,0,0,arithmetic_error,PROP-N46: roi=71.74 esperado=9.06 | rechazo falso u omisión de aprobadas: ['PROP-T14'],,
baseline_granite,test_0020,0,0,false_approval,PROP-S27 aprobada pero viola ['presupuesto'] | PROP-M71 aprobada pero viola ['presupuesto'],,
baseline_granite,test_0021,0,0,false_approval,PROP-S10 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-Z56'],,
baseline_granite,test_0022,0,0,schema_error,"ids repetidos o en ambas listas: ['PROP-A11', 'PROP-C11', 'PROP-H59', 'PROP-M64', 'PROP-U38', 'PROP-Z25']",,
baseline_granite,test_0023,0,0,false_approval,"PROP-B80 aprobada pero viola ['presupuesto'] | PROP-Z67 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-A22', 'PROP-G23', 'PROP-K82']",,
baseline_granite,test_0024,0,0,false_approval,"PROP-A39 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-P83', 'PROP-W76'] | propiedades sin clasificar: ['PROP-W76']",,
