modelo=granite4.1:8b run=baseline_granite casos=51 opciones={'temperature': 0.0, 'num_ctx': 4096, 'num_predict': 2048, 'seed': 0}
[1/51] case_001_e1: 321 tok, 29.5s (stop)
[2/51] test_0001: 226 tok, 18.3s (stop)
[3/51] test_0002: 240 tok, 19.0s (stop)
[4/51] test_0003: 388 tok, 31.1s (stop)
[5/51] test_0004: 412 tok, 32.0s (stop)
[6/51] test_0005: 216 tok, 18.9s (stop)
[7/51] test_0006: 429 tok, 36.5s (stop)
[8/51] test_0007: 455 tok, 39.6s (stop)
[9/51] test_0008: 250 tok, 24.4s (stop)
[10/51] test_0009: 352 tok, 32.4s (stop)
[11/51] test_0010: 293 tok, 26.6s (stop)
[12/51] test_0011: 231 tok, 22.5s (stop)
[13/51] test_0012: 419 tok, 38.1s (stop)
[14/51] test_0013: 144 tok, 16.9s (stop)
[15/51] test_0014: 176 tok, 18.5s (stop)
[16/51] test_0015: 243 tok, 23.3s (stop)
[17/51] test_0016: 373 tok, 34.5s (stop)
[18/51] test_0017: 271 tok, 29.3s (stop)
[19/51] test_0018: 279 tok, 28.5s (stop)
[20/51] test_0019: 304 tok, 28.8s (stop)
[21/51] test_0020: 334 tok, 32.5s (stop)
[22/51] test_0021: 284 tok, 28.6s (stop)
[23/51] test_0022: 596 tok, 49.2s (stop)
[24/51] test_0023: 344 tok, 31.3s (stop)
[25/51] test_0024: 371 tok, 32.8s (stop)
[26/51] test_0025: 206 tok, 20.8s (stop)
[27/51] test_0026: 353 tok, 32.8s (stop)
[28/51] test_0027: 326 tok, 29.5s (stop)
[29/51] test_0028: 315 tok, 30.6s (stop)
[30/51] test_0029: 353 tok, 31.4s (stop)
[31/51] test_0030: 415 tok, 37.5s (stop)
[32/51] test_0031: 233 tok, 22.1s (stop)
[33/51] test_0032: 311 tok, 29.2s (stop)
[34/51] test_0033: 371 tok, 32.3s (stop)
[35/51] test_0034: 285 tok, 28.3s (stop)
[36/51] test_0035: 413 tok, 37.1s (stop)
[37/51] test_0036: 239 tok, 24.9s (stop)
[38/51] test_0037: 356 tok, 32.6s (stop)
[39/51] test_0038: 349 tok, 32.4s (stop)
[40/51] test_0039: 349 tok, 32.1s (stop)
[41/51] test_0040: 333 tok, 30.1s (stop)
[42/51] test_0041: 216 tok, 23.2s (stop)
[43/51] test_0042: 257 tok, 27.6s (stop)
[44/51] test_0043: 185 tok, 21.6s (stop)
[45/51] test_0044: 287 tok, 29.8s (stop)
[46/51] test_0045: 334 tok, 33.8s (stop)
[47/51] test_0046: 424 tok, 40.7s (stop)
[48/51] test_0047: 245 tok, 26.1s (stop)
[49/51] test_0048: 346 tok, 35.4s (stop)
[50/51] test_0049: 318 tok, 31.9s (stop)
[51/51] test_0050: 363 tok, 36.0s (stop)
listo: 51 respuestas nuevas en results/baseline_granite/
