modelo=phi4-mini:latest run=baseline_phi4 casos=2 opciones={'temperature': 0.0, 'num_ctx': 4096, 'num_predict': 2048, 'seed': 0}
[1/2] case_001_e1: 733 tok, 26.7s (stop)
[2/2] test_0001: 277 tok, 11.4s (stop)
listo: 2 respuestas nuevas en results/baseline_phi4/
modelo=phi4-mini:latest run=baseline_phi4 casos=51 opciones={'temperature': 0.0, 'num_ctx': 4096, 'num_predict': 2048, 'seed': 0}
[1/51] case_001_e1: ya existe, se omite
[2/51] test_0001: ya existe, se omite
[3/51] test_0002: 216 tok, 9.1s (stop)
[4/51] test_0003: 304 tok, 11.7s (stop)
[5/51] test_0004: 451 tok, 16.6s (stop)
[6/51] test_0005: 307 tok, 11.6s (stop)
[7/51] test_0006: 356 tok, 13.0s (stop)
[8/51] test_0007: 504 tok, 18.6s (stop)
[9/51] test_0008: 195 tok, 9.1s (stop)
[10/51] test_0009: 216 tok, 9.0s (stop)
[11/51] test_0010: 253 tok, 11.0s (stop)
[12/51] test_0011: 256 tok, 10.7s (stop)
[13/51] test_0012: 351 tok, 14.6s (stop)
[14/51] test_0013: 285 tok, 12.0s (stop)
[15/51] test_0014: 220 tok, 9.7s (stop)
[16/51] test_0015: 270 tok, 11.7s (stop)
[17/51] test_0016: 338 tok, 14.7s (stop)
[18/51] test_0017: 291 tok, 13.7s (stop)
[19/51] test_0018: 332 tok, 15.4s (stop)
[20/51] test_0019: 323 tok, 15.7s (stop)
[21/51] test_0020: 167 tok, 9.6s (stop)
[22/51] test_0021: 895 tok, 35.4s (stop)
[23/51] test_0022: 385 tok, 17.7s (stop)
[24/51] test_0023: 267 tok, 13.7s (stop)
[25/51] test_0024: 228 tok, 11.5s (stop)
[26/51] test_0025: 277 tok, 14.0s (stop)
[27/51] test_0026: 176 tok, 9.8s (stop)
[28/51] test_0027: 296 tok, 13.8s (stop)
[29/51] test_0028: 428 tok, 19.2s (stop)
[30/51] test_0029: 175 tok, 9.9s (stop)
[31/51] test_0030: 288 tok, 14.1s (stop)
[32/51] test_0031: 313 tok, 14.6s (stop)
[33/51] test_0032: 366 tok, 17.5s (stop)
[34/51] test_0033: 162 tok, 9.4s (stop)
[35/51] test_0034: 212 tok, 11.0s (stop)
[36/51] test_0035: 246 tok, 13.0s (stop)
[37/51] test_0036: 468 tok, 21.5s (stop)
[38/51] test_0037: 259 tok, 14.2s (stop)
[39/51] test_0038: 173 tok, 10.0s (stop)
[40/51] test_0039: 2048 tok, 82.3s (length)
[41/51] test_0040: 302 tok, 16.3s (stop)
[42/51] test_0041: 324 tok, 16.7s (stop)
[43/51] test_0042: 284 tok, 15.3s (stop)
[44/51] test_0043: 448 tok, 21.9s (stop)
[45/51] test_0044: 366 tok, 19.5s (stop)
[46/51] test_0045: 325 tok, 16.6s (stop)
[47/51] test_0046: 344 tok, 18.0s (stop)
[48/51] test_0047: 249 tok, 14.3s (stop)
[49/51] test_0048: 337 tok, 17.3s (stop)
[50/51] test_0049: 233 tok, 13.2s (stop)
[51/51] test_0050: 136 tok, 9.1s (stop)
listo: 49 respuestas nuevas en results/baseline_phi4/
modelo=phi4-mini:latest run=baseline_phi4 casos=51 opciones={'temperature': 0.0, 'num_ctx': 4096, 'num_predict': 2048, 'seed': 0}
[1/51] case_001_e1: ya existe, se omite
[2/51] test_0001: ya existe, se omite
[3/51] test_0002: ya existe, se omite
[4/51] test_0003: ya existe, se omite
[5/51] test_0004: ya existe, se omite
[6/51] test_0005: ya existe, se omite
[7/51] test_0006: ya existe, se omite
[8/51] test_0007: ya existe, se omite
[9/51] test_0008: ya existe, se omite
[10/51] test_0009: ya existe, se omite
[11/51] test_0010: ya existe, se omite
[12/51] test_0011: ya existe, se omite
[13/51] test_0012: ya existe, se omite
[14/51] test_0013: ya existe, se omite
[15/51] test_0014: ya existe, se omite
[16/51] test_0015: ya existe, se omite
[17/51] test_0016: ya existe, se omite
[18/51] test_0017: ya existe, se omite
[19/51] test_0018: ya existe, se omite
[20/51] test_0019: ya existe, se omite
[21/51] test_0020: ya existe, se omite
[22/51] test_0021: ya existe, se omite
[23/51] test_0022: ya existe, se omite
[24/51] test_0023: ya existe, se omite
[25/51] test_0024: ya existe, se omite
[26/51] test_0025: ya existe, se omite
[27/51] test_0026: ya existe, se omite
[28/51] test_0027: ya existe, se omite
[29/51] test_0028: ya existe, se omite
[30/51] test_0029: ya existe, se omite
[31/51] test_0030: ya existe, se omite
[32/51] test_0031: ya existe, se omite
[33/51] test_0032: ya existe, se omite
[34/51] test_0033: ya existe, se omite
[35/51] test_0034: ya existe, se omite
[36/51] test_0035: ya existe, se omite
[37/51] test_0036: ya existe, se omite
[38/51] test_0037: ya existe, se omite
[39/51] test_0038: ya existe, se omite
[40/51] test_0039: ya existe, se omite
[41/51] test_0040: ya existe, se omite
[42/51] test_0041: ya existe, se omite
[43/51] test_0042: ya existe, se omite
[44/51] test_0043: ya existe, se omite
[45/51] test_0044: ya existe, se omite
[46/51] test_0045: ya existe, se omite
[47/51] test_0046: ya existe, se omite
[48/51] test_0047: ya existe, se omite
[49/51] test_0048: ya existe, se omite
[50/51] test_0049: ya existe, se omite
[51/51] test_0050: ya existe, se omite
listo: 0 respuestas nuevas en results/baseline_phi4/
